Date,Open,High,Low,Close,Adj Close,Volume
2020-08-13,518.75,562.4625244140625,518.2999877929688,533.0750122070312,531.0402221679688,979280
2020-08-14,539.3375244140625,552.5,518.75,528.8499755859375,526.831298828125,556084
2020-08-17,537.5,599.75,525.0,579.3875122070312,577.1759643554688,3801428
2020-08-18,593.75,603.75,585.4124755859375,591.75,589.4912719726562,1190660
2020-08-19,595.5,612.4625244140625,583.1500244140625,602.5875244140625,600.2874145507812,1292488
2020-08-20,603.75,723.0999755859375,603.75,712.2125244140625,709.4939575195312,8282756
2020-08-21,744.9874877929688,783.4249877929688,732.5,783.4249877929688,780.4345703125,6185828
2020-08-24,812.5,861.7625122070312,806.25,861.7625122070312,858.4730834960938,4521064
2020-08-25,910.0,929.75,797.8250122070312,816.6749877929688,813.5576782226562,7147936
2020-08-26,813.75,816.25,735.0125122070312,735.0125122070312,732.2069091796875,3363252
2020-08-27,712.5,774.625,688.75,733.2625122070312,730.4635620117188,4392612
2020-08-28,750.0,767.5,729.0999755859375,732.7625122070312,729.9655151367188,1382312
2020-08-31,742.5,743.75,663.8875122070312,678.0374755859375,675.4493408203125,1924308
2020-09-01,662.6375122070312,711.9375,650.0,696.0999755859375,693.4429321289062,1436608
2020-09-02,718.5,730.9000244140625,707.5,730.9000244140625,728.110107421875,1625596
2020-09-03,745.5999755859375,762.25,717.5250244140625,731.4749755859375,728.682861328125,2056444
2020-09-04,710.0,732.25,694.9124755859375,714.2374877929688,711.5111694335938,871748
2020-09-07,719.75,732.0,702.75,707.3875122070312,704.6873779296875,697456
2020-09-08,707.0,718.5999755859375,695.5750122070312,700.5,697.8261108398438,761832
2020-09-09,693.5,725.0,670.0250244140625,717.4749755859375,714.736328125,1344200
2020-09-10,731.25,733.75,710.4500122070312,716.7000122070312,713.9642944335938,662484
2020-09-11,716.7000122070312,724.5,706.5125122070312,711.8250122070312,709.10791015625,588300
2020-09-14,714.9749755859375,737.25,713.75,732.2000122070312,729.4051513671875,890352
2020-09-15,746.25,747.5,733.6124877929688,740.7374877929688,737.9100341796875,698752
2020-09-16,748.75,749.5,737.5,740.7874755859375,737.9598388671875,762680
2020-09-17,737.5,740.0,729.25,731.0499877929688,728.259521484375,365260
2020-09-18,734.0,767.5999755859375,732.5250244140625,741.8375244140625,739.005859375,2313004
2020-09-21,751.1749877929688,753.5,704.75,710.7750244140625,708.0619506835938,739452
2020-09-22,746.3125,746.3125,713.3125,725.2625122070312,722.494140625,1337896
2020-09-23,741.0,747.5,711.25,715.5750122070312,712.8436279296875,1028952
2020-09-24,715.0,715.0,688.0750122070312,704.8624877929688,702.1719970703125,608528
2020-09-25,720.75,740.0999755859375,712.5,737.8125,734.9962158203125,929976
2020-09-28,756.25,763.5,742.5,759.7125244140625,756.8126220703125,1243768
2020-09-29,772.25,772.25,727.8375244140625,734.5999755859375,731.7959594726562,1123512
2020-09-30,771.2999877929688,771.2999877929688,745.75,771.2999877929688,768.3558959960938,327201
2020-10-01,809.8499755859375,809.8499755859375,809.8499755859375,809.8499755859375,806.7587280273438,45872
2020-10-05,821.0,850.2999877929688,815.1500244140625,850.2999877929688,847.0543212890625,674915
2020-10-06,883.0,892.7999877929688,877.5999755859375,892.7999877929688,889.39208984375,145101
2020-10-07,937.4000244140625,937.4000244140625,894.0,937.4000244140625,933.8218994140625,1819946
