Date,Open,High,Low,Close,Volume,5EMA,26EMA,rsi,macd,macdSignal,macdHist,macd_crossover,macd_crossunder,ema_crossover,ema_crossunder,macd_buy,macd_sell,ema_buy,ema_sell,rsi_buy,rsi_sell,volume_buy,volume_sell,scores
2011-11-11,392.7374146154758,406.36204802490164,388.66829000395666,404.7846984863281,10032713,401.8427605421023,401.725379559333,,,,,0,0,1,0,0,0,1,0,0,0,1,0,12.0
2011-11-14,407.5507382231149,409.65385187975505,399.13819908664266,400.829833984375,7382265,401.4841284582834,401.566111421212,,,,,0,0,0,1,0,0,0,1,0,0,0,0,13.799999999999999
2011-11-15,398.2237102653434,401.4241564427373,391.479989424314,393.857421875,4567898,398.83867131353475,400.32405052689643,,,,,0,0,0,0,0,0,0,1,0,0,0,0,11.526315789473683
2011-11-16,392.78311735727004,392.78311735727004,382.8389478581261,387.7538757324219,6144064,395.0450588881171,398.46087467009954,,,,,0,0,0,0,0,0,0,1,0,0,0,0,11.307692307692307
2011-11-17,386.35936620896155,388.00528122475976,368.61989090775984,370.3115539550781,11181100,386.65506185930184,394.5765423799795,,,,,0,0,0,0,0,0,0,1,0,0,0,1,11.57345971563981
2011-11-18,365.89952110480186,371.225926881602,359.8186954068648,369.4656982421875,10010082,380.8582570104621,391.319657940181,,,,,0,0,0,0,0,0,0,1,0,0,0,1,12.825563909774438
2011-11-21,365.76234861844995,365.76234861844995,357.3041180926663,359.52154541015625,8175772,373.69077756179115,387.41275879172,,,,,0,0,0,0,0,0,0,1,0,0,0,0,8.28460417678485
2011-11-22,360.32164141894987,367.7969087053908,359.63581537177794,363.5677795410156,8847784,370.2990172398764,384.61932377350377,,,,,0,0,0,0,0,0,0,1,0,0,1,0,5.41094369547978
2011-11-23,361.1446308705322,361.1446308705322,345.5540168975327,353.60076904296875,10942285,364.7138024246495,381.1355709326871,,,,,0,0,0,0,0,0,0,1,0,0,0,1,3.901361431328571
2011-11-24,354.33231224810237,355.70390811333453,344.34242376809806,353.4864807128906,12856149,360.96279583688386,378.14461664724837,24.423120653438364,,,,0,0,0,0,0,0,0,1,0,1,0,1,3.2563894872899626
2011-11-25,351.90912996877375,352.6178019146146,343.35943126660464,344.63958740234375,7469589,355.51343003254806,374.63971535098614,22.041425723673562,,,,0,0,0,0,0,0,0,1,0,1,0,0,3.169926727165776
2011-11-28,349.76029370184773,359.27011019688666,348.6401429166909,358.355712890625,5091951,356.4618202292879,372.98674689519635,32.95737115046431,,,,0,0,0,0,0,0,0,1,0,1,0,0,3.448766936256152
2011-11-29,357.53274583079144,357.53274583079144,347.0856582889757,349.7602844238281,9697943,354.2264624294518,370.6920133524648,30.1118868038526,,,,0,0,0,0,0,0,0,1,0,1,0,1,3.9685152109125923
2011-11-30,345.9655079833647,358.12710452973965,344.31956470364275,355.8182373046875,9224913,354.757293508709,369.25796611952865,34.41006003833626,,,,0,0,0,0,0,0,0,1,0,1,1,0,2.6411298655116826
2011-12-01,365.30517578125,370.67733018963105,363.5678209610697,365.30517578125,9519320,358.2743119344604,368.8851879464097,40.57378878881012,,,,0,0,0,0,0,0,0,1,0,0,1,0,2.092834457670466
2011-12-02,364.39072800640224,372.62038683977676,359.61296065810194,371.2716369628906,9044689,362.6076223776986,369.10578477566327,44.12979082437251,,,,0,0,0,0,0,0,0,1,0,0,1,0,2.0618424550184
