Date,Open,High,Low,Close,Volume,5EMA,26EMA,rsi,macd,macdSignal,macdHist,macd_crossover,macd_crossunder,ema_crossover,ema_crossunder,rsi_buy,rsi_sell,volume_buy,volume_sell,scores
1996-01-01,5.943432414212952,5.985532231907191,5.896380684510938,5.9681968688964835,33160,5.9681968688964835,5.9681968688964835,,,,,0,0,0,0,0,0,0,0,0.0
1996-01-02,5.968197086430992,6.025155089546947,5.849328189081854,5.893904209136963,176162,5.923621273040771,5.929621834021348,,,,,0,0,0,1,0,0,0,1,0.0
1996-01-03,5.8939040786633266,5.953338770754429,5.846851858823439,5.856757640838622,104661,5.891949026208174,5.903442436865012,,,,,0,0,0,1,0,0,0,0,0.0
1996-01-04,5.856758308371619,5.844376324173621,5.725507415907623,5.770082950592041,77718,5.841327733259934,5.866160952256574,,,,,0,0,0,1,0,0,0,0,0.0
1996-01-05,5.7700800503900815,5.893901787991951,5.695787693078957,5.88399600982666,113469,5.857707498197872,5.870296975669536,,,,,0,0,0,1,0,0,1,0,0.0
1996-01-08,5.8839976116507815,5.980578730322902,5.8072285441670415,5.9335265159606925,863715,5.885412793410452,5.8829613482891325,,,,,0,0,1,0,0,0,1,0,0.3654135338345864
1996-01-09,5.933527770053682,6.067254861025777,5.7948472981392465,6.02020263671875,315538,5.933135860808097,5.907368999996361,,,,,0,0,1,0,0,0,0,0,1.2982030111704712
1996-01-10,6.020201978999671,6.074683289838978,5.896380684510938,5.9681968688964835,764753,5.945297387325035,5.917169876888922,,,,,0,0,1,0,0,0,0,1,2.58223632038065
1996-01-11,5.968198519093334,6.240606127539044,5.968198519093334,6.186124801635742,251290,6.027717118444568,5.957034901086928,,,,,0,0,1,0,0,0,0,0,4.094152626362735
1996-01-12,6.186122862912352,6.327279025738608,6.191075264201846,6.309944152832031,1237801,6.123453003284696,6.00573294307215,,,,,0,0,1,0,0,0,1,0,5.758293838862559
1996-01-15,6.309944199003468,6.3223266707111545,6.166311345017018,6.319849491119385,1161119,6.189684199408892,6.046473958866142,,,,,0,0,1,0,0,0,1,0,7.188733230915082
1996-01-16,6.3198496409039215,6.25051014712685,6.148976617718332,6.228221893310548,298958,6.202629874178913,6.06880455630789,,,,,0,0,1,0,0,0,0,0,7.125333510320568
