Date,Open,High,Low,Close,Volume,5EMA,26EMA,rsi,macd,macdSignal,macdHist,macd_crossover,macd_crossunder,ema_crossover,ema_crossunder,macd_buy,macd_sell,ema_buy,ema_sell,rsi_buy,rsi_sell,volume_buy,volume_sell,scores
2006-08-28,104.76072507728367,114.4123849692407,100.94027637005067,111.4465103149414,60664652,111.4465103149414,111.4465103149414,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2006-08-29,111.59732172171432,113.38690530345711,107.68638610052632,108.44042205810547,15716452,109.64285736083984,109.88565679696889,,,,,0,0,0,1,0,0,0,1,0,0,0,0,0.0
2006-08-30,107.97795340362605,109.16430826631114,104.86127132214335,106.18836975097656,8139932,108.0065211245888,108.55725745910374,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0.0
2006-08-31,105.56503780620305,109.38548679347515,103.55427518132299,108.26951599121094,6683960,108.11576514610877,108.47681751886208,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0.0
2006-09-01,108.38010832234133,110.39087099993579,107.59590596899092,108.95317077636719,4704780,108.43723365819851,108.58728580404366,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0.0
2006-09-04,108.98334131314171,110.39087524154021,91.04733508529061,109.37544250488281,2999152,108.78006786834031,108.74514730510941,,,,,0,0,1,0,0,0,1,0,0,0,0,0,0.0
2006-09-05,109.38549116955924,111.79840641594659,108.27957168163172,111.13485717773438,3824532,109.6137936607387,109.17014481802818,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0.7081107333657115
2006-09-06,111.53702880481718,113.10542152880521,108.17905205777281,108.83255004882812,3830444,109.34280559107201,109.11574993567687,,,,,0,0,0,0,0,0,1,0,0,0,0,0,1.849960348929421
2006-09-07,109.58655091778225,109.58655091778225,106.57040731454053,108.03826141357422,1404644,108.89634404245362,108.95604248266358,,,,,0,0,0,1,0,0,0,1,0,0,0,0,3.270251943038965
2006-09-08,108.33989623827836,109.56646889891645,106.88209322134635,107.53559112548828,1078636,108.43475507796197,108.76003402018311,,,,,0,0,0,0,0,0,0,1,0,0,0,0,4.874657475226195
2006-09-11,108.57112784608533,109.58656049336038,107.0228382065891,107.7668228149414,1681864,108.20950689151258,108.6312142122135,,,,,0,0,0,0,0,0,0,1,0,0,0,0,6.603087396272964
2006-09-12,107.76681960192859,109.95854338281818,107.37471845639206,108.14885711669922,2056784,108.18913327337101,108.57194904281266,,,,,0,0,0,0,0,0,0,1,0,0,0,0,6.064574424712475
2006-09-13,108.78225289698483,110.3908629213395,108.78225289698483,109.52623748779297,1607788,108.63713662291568,108.6837437620137,,,,,0,0,0,0,0,0,0,1,0,0,0,0,5.7078835228616045
2006-09-14,109.6267855392414,112.10002122105395,109.60667054848356,110.56178283691406,2138440,109.28089053181283,108.89466990022956,,,,,0,0,1,0,0,0,1,0,0,0,0,0,3.7987158521247397
2006-09-15,110.62211018241507,111.39624888016536,108.38010495741719,108.62139892578125,839132,109.06055682958981,108.86510867468417,42.4745852408036,,,,0,0,0,0,0,0,1,0,0,0,0,0,3.197771549996826
2006-09-18,109.38550050391697,113.00487368235541,109.38550050391697,109.88819122314453,897504,109.33685560876768,108.97213151367565,46.372250431987894,,,,0,0,0,0,0,0,1,0,0,0,0,0,3.465588768667035
2006-09-19,110.19984243598009,125.44142057207861,109.88817668583437,117.47880554199219,19172256,112.05359630087504,109.83563321522118,62.68649614996246,,,,0,0,0,0,0,0,1,0,1,0,1,0,4.3112508249515535
2006-09-20,116.58403999911195,123.44074941115895,115.26699264670354,121.66121673583984,9057312,115.25830487822338,111.00398001795055,68.39216611533728,,,,0,0,0,0,0,0,1,0,1,0,1,0,5.875225463627808
2006-09-21,116.02097825987816,126.07478920094212,116.02097825987816,122.44536590576172,7104400,117.65507305272436,112.10709517315168,69.33880921635145,,,,0,0,0,0,0,0,1,0,1,0,0,0,7.917738338991386
