,id,ticker,Entry Type,buy_date,buy_price,sell_date,sell_price,change_pct,pnl,pnl_pct,quantity,num_days,stock,initial_capital,ending_value,returns,accuracy,profit,avg_pl,avg_profit,avg_loss,max_profit,max_loss
0,954,,long,2018-06-11,510.2007659912109,2018-06-19,540.4460025115588,5.93,2814.394298334239,2.74,100,6,BANDHANBNK,100000,94390.50055203804,-5.609499447961964,56.25,-5609.499447961961,-350.59371549762255,4512.722705436411,-6603.429113841381,9882.574607903589,-22172.34443713434
1,955,,long,2018-07-03,557.433560180664,2018-07-20,612.5131353440779,9.88,5273.968177236441,4.76,100,13,BANDHANBNK,100000,94390.50055203804,-5.609499447961964,56.25,-5609.499447961961,-350.59371549762255,4512.722705436411,-6603.429113841381,9882.574607903589,-22172.34443713434
2,956,,long,2018-10-03,493.0036987304687,2018-11-27,447.93741041988676,-9.14,-2347.4085264441337,-2.06,50,36,BANDHANBNK,100000,94390.50055203804,-5.609499447961964,56.25,-5609.499447961961,-350.59371549762255,4512.722705436411,-6603.429113841381,9882.574607903589,-22172.34443713434
3,957,,long,2019-02-07,442.040219707999,2019-02-20,471.9721212767029,6.77,2810.3876886734547,2.41,100,8,BANDHANBNK,100000,94390.50055203804,-5.609499447961964,56.25,-5609.499447961961,-350.59371549762255,4512.722705436411,-6603.429113841381,9882.574607903589,-22172.34443713434
4,958,,long,2019-04-03,531.8160278320313,2019-04-09,543.1346127472308,2.13,916.868363404097,0.76,100,4,BANDHANBNK,100000,94390.50055203804,-5.609499447961964,56.25,-5609.499447961961,-350.59371549762255,4512.722705436411,-6603.429113841381,9882.574607903589,-22172.34443713434
5,959,,long,2019-05-02,613.3109619140625,2019-05-03,619.6987900086674,1.04,196.0904295379698,0.16,50,1,BANDHANBNK,100000,94390.50055203804,-5.609499447961964,56.25,-5609.499447961961,-350.59371549762255,4512.722705436411,-6603.429113841381,9882.574607903589,-22172.34443713434
6,960,,long,2019-05-20,591.7788513183593,2019-10-01,493.82630340097586,-16.55,-5006.187911341107,-4.29,50,91,BANDHANBNK,100000,94390.50055203804,-5.609499447961964,56.25,-5609.499447961961,-350.59371549762255,4512.722705436411,-6603.429113841381,9882.574607903589,-22172.34443713434
7,961,,long,2019-11-28,576.316748046875,2019-12-10,541.1160282398149,-6.11,-1871.7792679816723,-1.63,50,8,BANDHANBNK,100000,94390.50055203804,-5.609499447961964,56.25,-5609.499447961961,-350.59371549762255,4512.722705436411,-6603.429113841381,9882.574607903589,-22172.34443713434
8,962,,long,2020-02-11,466.4142333984375,2020-05-11,246.1158491922755,-47.23,-22172.34443713434,-23.94,100,57,BANDHANBNK,100000,94390.50055203804,-5.609499447961964,56.25,-5609.499447961961,-350.59371549762255,4512.722705436411,-6603.429113841381,9882.574607903589,-22172.34443713434
9,963,,long,2020-05-28,221.61389617919923,2020-06-18,262.1116456945611,18.27,9882.574607903589,9.64,250,15,BANDHANBNK,100000,94390.50055203804,-5.609499447961964,56.25,-5609.499447961961,-350.59371549762255,4512.722705436411,-6603.429113841381,9882.574607903589,-22172.34443713434
10,964,,long,2020-08-28,314.96251525878904,2020-10-16,302.973149211262,-3.81,-1983.7856064700695,-1.97,150,34,BANDHANBNK,100000,94390.50055203804,-5.609499447961964,56.25,-5609.499447961961,-350.59371549762255,4512.722705436411,-6603.429113841381,9882.574607903589,-22172.34443713434
11,965,,long,2020-11-05,316.7713989257812,2020-11-19,355.6944599101247,12.29,7515.625853334331,6.96,200,10,BANDHANBNK,100000,94390.50055203804,-5.609499447961964,56.25,-5609.499447961961,-350.59371549762255,4512.722705436411,-6603.429113841381,9882.574607903589,-22172.34443713434
12,966,,long,2021-02-02,332.9415802001953,2021-03-12,356.49176582183355,7.07,3325.697839439131,2.99,150,27,BANDHANBNK,100000,94390.50055203804,-5.609499447961964,56.25,-5609.499447961961,-350.59371549762255,4512.722705436411,-6603.429113841381,9882.574607903589,-22172.34443713434
13,967,,long,2021-03-24,368.2419189453125,2021-06-10,318.3211247158458,-13.56,-7694.088047518346,-7.42,150,51,BANDHANBNK,100000,94390.50055203804,-5.609499447961964,56.25,-5609.499447961961,-350.59371549762255,4512.722705436411,-6603.429113841381,9882.574607903589,-22172.34443713434
14,968,,long,2021-09-15,291.0600067138672,2021-10-13,331.70001220703125,13.96,7878.897091064448,7.06,200,20,BANDHANBNK,100000,94390.50055203804,-5.609499447961964,56.25,-5609.499447961961,-350.59371549762255,4512.722705436411,-6603.429113841381,9882.574607903589,-22172.34443713434
15,969,,long,2021-11-10,316.525,2022-01-19,292.0,-7.75,-5148.409999999995,-4.84,200,49,BANDHANBNK,100000,94390.50055203804,-5.609499447961964,56.25,-5609.499447961961,-350.59371549762255,4512.722705436411,-6603.429113841381,9882.574607903589,-22172.34443713434
