,id,ticker,Entry Type,buy_date,buy_price,sell_date,sell_price,change_pct,pnl,pnl_pct,quantity,num_days,stock,initial_capital,ending_value,returns,accuracy,profit,avg_pl,avg_profit,avg_loss,max_profit,max_loss
0,179,,long,2018-08-21,60.170000839233396,2018-11-15,42.900001525878906,-28.7,-15728.525386276244,-18.66,900,56,ADANIGREEN,100000,207237.72447265626,107.23772447265627,68.75,107237.72447265626,6702.3577795410165,12331.334819856123,-5681.391709152221,33462.60668182373,-15728.525386276244
1,180,,long,2019-01-29,35.75,2019-03-15,38.900001525878906,8.81,3450.8067512512207,3.93,1150,31,ADANIGREEN,100000,207237.72447265626,107.23772447265627,68.75,107237.72447265626,6702.3577795410165,12331.334819856123,-5681.391709152221,33462.60668182373,-15728.525386276244
2,181,,long,2019-04-16,39.4349983215332,2019-04-30,42.95000076293945,8.91,4690.32542053223,5.08,1400,7,ADANIGREEN,100000,207237.72447265626,107.23772447265627,68.75,107237.72447265626,6702.3577795410165,12331.334819856123,-5681.391709152221,33462.60668182373,-15728.525386276244
3,182,,long,2019-05-20,41.0,2019-06-03,43.54999923706055,6.22,3333.258934020996,3.48,1400,10,ADANIGREEN,100000,207237.72447265626,107.23772447265627,68.75,107237.72447265626,6702.3577795410165,12331.334819856123,-5681.391709152221,33462.60668182373,-15728.525386276244
4,183,,long,2019-06-28,43.725,2019-07-10,50.20000076293945,14.81,7858.938451766966,7.59,1250,8,ADANIGREEN,100000,207237.72447265626,107.23772447265627,68.75,107237.72447265626,6702.3577795410165,12331.334819856123,-5681.391709152221,33462.60668182373,-15728.525386276244
5,184,,long,2019-08-30,47.7400016784668,2019-09-20,50.5,5.78,3076.2219818115236,2.79,1200,13,ADANIGREEN,100000,207237.72447265626,107.23772447265627,68.75,107237.72447265626,6702.3577795410165,12331.334819856123,-5681.391709152221,33462.60668182373,-15728.525386276244
6,185,,long,2019-11-13,95.3699966430664,2019-12-02,138.0,44.7,27406.121186370852,19.47,650,13,ADANIGREEN,100000,207237.72447265626,107.23772447265627,68.75,107237.72447265626,6702.3577795410165,12331.334819856123,-5681.391709152221,33462.60668182373,-15728.525386276244
7,186,,long,2019-12-24,146.4499969482422,2020-01-07,208.0,42.03,33462.60668182373,16.6,550,9,ADANIGREEN,100000,207237.72447265626,107.23772447265627,68.75,107237.72447265626,6702.3577795410165,12331.334819856123,-5681.391709152221,33462.60668182373,-15728.525386276244
8,187,,long,2020-01-22,207.5149932861328,2020-04-17,199.0,-4.1,-4197.610472717282,-1.82,450,56,ADANIGREEN,100000,207237.72447265626,107.23772447265627,68.75,107237.72447265626,6702.3577795410165,12331.334819856123,-5681.391709152221,33462.60668182373,-15728.525386276244
9,188,,long,2020-07-03,375.79998779296875,2020-08-19,376.75,0.25,-138.77194213867188,-0.06,250,33,ADANIGREEN,100000,207237.72447265626,107.23772447265627,68.75,107237.72447265626,6702.3577795410165,12331.334819856123,-5681.391709152221,33462.60668182373,-15728.525386276244
10,189,,long,2020-09-28,680.0999755859375,2020-11-06,855.0,25.72,17182.98244628906,6.93,100,28,ADANIGREEN,100000,207237.72447265626,107.23772447265627,68.75,107237.72447265626,6702.3577795410165,12331.334819856123,-5681.391709152221,33462.60668182373,-15728.525386276244
11,190,,long,2021-01-07,1113.699951171875,2021-02-08,1070.0,-3.92,-2403.3675537109375,-0.91,50,21,ADANIGREEN,100000,207237.72447265626,107.23772447265627,68.75,107237.72447265626,6702.3577795410165,12331.334819856123,-5681.391709152221,33462.60668182373,-15728.525386276244
12,191,,long,2021-03-22,1252.199951171875,2021-05-25,1390.0,11.0,6625.782446289062,2.46,50,41,ADANIGREEN,100000,207237.72447265626,107.23772447265627,68.75,107237.72447265626,6702.3577795410165,12331.334819856123,-5681.391709152221,33462.60668182373,-15728.525386276244
13,192,,long,2021-06-22,1174.3050537109375,2021-09-02,1060.0,-9.73,-5938.683190917969,-2.2,50,50,ADANIGREEN,100000,207237.72447265626,107.23772447265627,68.75,107237.72447265626,6702.3577795410165,12331.334819856123,-5681.391709152221,33462.60668182373,-15728.525386276244
14,193,,long,2021-10-06,1252.5150268554687,2021-11-30,1349.0,7.7,4564.0971545410175,1.66,50,36,ADANIGREEN,100000,207237.72447265626,107.23772447265627,68.75,107237.72447265626,6702.3577795410165,12331.334819856123,-5681.391709152221,33462.60668182373,-15728.525386276244
15,194,,long,2021-12-13,1461.4599731445312,2022-01-20,1948.1500244140625,33.3,23993.541563720708,7.91,50,28,ADANIGREEN,100000,207237.72447265626,107.23772447265627,68.75,107237.72447265626,6702.3577795410165,12331.334819856123,-5681.391709152221,33462.60668182373,-15728.525386276244
