Date,Open,High,Low,Close,Volume,,,,
01-07-02,31.10446759,31.58008264,31.10446759,31.35606003,3709080,,,,
02-07-02,31.44910637,31.7420594,31.36294476,31.43187523,2500024,,,,
03-07-02,31.55249748,31.60419385,31.03552493,31.0803318,1910772,,,,
04-07-02,31.20786791,31.3112607,30.89079116,30.9597187,1515924,,,,
05-07-02,30.86320307,31.19061834,30.86320307,31.03552628,1038928,,,,
08-07-02,31.51805,31.69037329,31.01831126,31.63178444,1772149,,,,
09-07-02,31.70760225,31.96608715,31.40775669,31.49392128,2892991,,,,
10-07-02,31.10446797,31.56974139,31.01830634,31.40775681,1063845,,,,
11-07-02,31.34572553,31.53527997,31.09757929,31.138937,1413315,,,,
12-07-02,31.36294722,31.44910884,31.08033877,31.2940197,1485990,,,,
15-07-02,31.31124918,31.31124918,30.81151064,31.19062233,2159154,,,,
16-07-02,30.67364939,31.27678364,30.67364939,31.06310272,1652139,,,,
17-07-02,30.84598195,31.01830521,30.61506689,30.83908653,1308973,,,,
18-07-02,30.93213354,31.12168788,30.78738015,31.03552628,1634161,,,,
19-07-02,30.84598635,31.31125981,30.84598635,31.2009716,4430164,,,,
22-07-02,29.93266224,29.93266224,28.96075483,29.07104301,2559451,,,,
23-07-02,29.08828351,29.37434124,28.70916872,29.0296917,1543779,,,,
24-07-02,28.81256209,29.08138569,28.77809684,28.82290077,1839717,,,,
25-07-02,29.38122617,29.38122617,28.01986541,28.25422668,9698058,,,,
26-07-02,28.15773338,28.46791471,28.00264123,28.12326813,2582338,,,,
29-07-02,28.24388902,28.42655096,27.58905829,27.81307793,1608246,,,,
30-07-02,28.26112483,28.26112483,27.22718217,27.42707825,1532263,,,,
31-07-02,27.07209085,27.57182957,26.92734036,27.35814857,1588950,,,,
01-08-02,27.05485383,27.5201272,27.05485383,27.10655022,939127,,,,
02-08-02,26.96869611,27.34780791,26.71020824,27.26164627,1121058,,,,
05-08-02,27.39950247,28.41621387,27.39950247,28.26112175,1788777,,,,
06-08-02,28.07157103,28.24389432,27.58906346,28.11637497,968539,,,,
07-08-02,28.41621171,28.41621171,28.12326159,28.19219208,884349,,,,
08-08-02,28.26111914,29.05381081,28.17495752,28.25422668,2182081,,,,
09-08-02,28.26112183,29.24336799,28.24389069,28.58853722,3620929,,,,
12-08-02,28.72640022,29.19167366,28.49548513,28.74363136,2180412,,,,
13-08-02,28.76086044,29.00211715,28.56441358,28.77120209,844686,,,,
14-08-02,28.77809482,29.03657972,28.65057548,28.89872169,893839,,,,
15-08-02,28.89872169,28.89872169,28.89872169,28.89872169,0,,,,
16-08-02,29.02968353,29.6397103,28.95041437,29.39845657,2908156,,,,
19-08-02,29.85684146,29.94989851,29.3984605,29.55355263,4380849,,,,
20-08-02,29.63971147,29.79480358,29.5190846,29.73621178,1884010,,,,
