Date,Open,High,Low,Close,Volume,5EMA,26EMA,rsi,macd,macdSignal,macdHist,macd_crossover,macd_crossunder,ema_crossover,ema_crossunder,rsi_buy,rsi_sell,volume_buy,volume_sell,totalScore
1996-01-01,0.5434537244307565,0.5446556210517883,0.5407833909005704,0.5446556210517883,204800,0.5446556210517883,0.5446556210517883,,,,,0,0,0,0,0,0,0,0,0
1996-01-02,0.5434538722712313,0.5461249400130208,0.5424529910087585,0.5424529910087585,204800,0.5433340430259704,0.5435119477602152,,,,,0,0,0,1,0,0,0,0,0
1996-01-03,0.5461247563362122,0.5461247563362122,0.5461247563362122,0.5461247563362122,102400,0.5446559598571374,0.5444507045132471,,,,,0,0,1,0,0,0,0,0,0
1996-01-04,0.5407832412549222,0.5434535740461732,0.5407832412549222,0.5425190329551697,307200,0.5437683132978586,0.5439106935588436,,,,,0,0,0,1,0,0,0,1,0
1996-01-05,0.5361098647117615,0.5361098647117615,0.5361098647117615,0.5361098647117615,51200,0.540828340143954,0.542101649173915,,,,,0,0,0,0,0,0,0,0,0
1996-01-08,0.5361099855492637,0.5407835082951523,0.5367779460065887,0.5394483208656311,358400,0.5403240624227023,0.5415702086759532,,,,,0,0,0,0,0,0,1,0,3
1996-01-09,0.5394482452093593,0.5341074962403012,0.5274309080422888,0.533439576625824,870400,0.5378865732794657,0.540124217913917,,,,,0,0,0,0,0,0,0,1,5
1996-01-10,0.5334394567197555,0.530101163371128,0.5274307894868433,0.5287659764289856,358400,0.5347229340547234,0.5382941237724869,,,,,0,0,0,0,0,0,0,0,7
1996-01-11,0.5327714720735285,0.5407832860946655,0.5287659521799521,0.5407832860946655,819200,0.5367970026862011,0.5386630722730574,,,,,0,0,0,0,0,0,1,0,3
1996-01-12,0.5381131046339783,0.5381131046339783,0.5341075425598095,0.5377794504165649,358400,0.5371302645332799,0.5385411410568772,,,,,0,0,0,0,0,0,0,0,4
1996-01-15,0.5307690541928523,0.5367777211015105,0.5307690541928523,0.5317705869674683,307200,0.5353228093188949,0.5376629980465661,,,,,0,0,0,0,0,0,0,0,5
1996-01-16,0.5317707451860542,0.534107506275177,0.4873726919844102,0.534107506275177,358400,0.5349145617991773,0.5372261498606594,,,,,0,0,0,0,0,0,0,0,3
1996-01-17,0.5341075691806314,0.5354427566052357,0.5274309800708314,0.5290334820747375,768000,0.5329440770852186,0.5362663803072792,,,,,0,0,0,0,0,0,0,1,4
1996-01-18,0.5290333771239533,0.5307691693305969,0.5260956882782281,0.5307691693305969,204800,0.5322166159246453,0.5356489780935735,,,,,0,0,0,0,0,0,0,0,5
1996-01-19,0.5274312054523725,0.5274312054523725,0.5250944430894898,0.5254280567169191,512000,0.5299485834442943,0.5345433247664796,35.30628215254307,,,,0,0,0,0,0,1,0,1,0
1996-01-22,0.5274308754379551,0.5307691693305969,0.5274308754379551,0.5307691693305969,204800,0.5302225291386271,0.5341485171039394,40.53411533588619,,,,0,0,0,0,0,0,0,0,0
1996-01-23,0.5247603503698023,0.534107309789425,0.5247603503698023,0.5290995240211487,665600,0.5298478137786555,0.5336360002138401,39.46061873923357,,,,0,0,0,0,0,1,0,1,0
1996-01-24,0.5290997833206283,0.5267630219459534,0.5147456830845812,0.5267630219459534,409600,0.5288188535993361,0.5329569620783845,37.94610301356751,,,,0,0,0,0,0,1,0,0,0
1996-01-25,0.5270972646439654,0.5270972646439654,0.5247605443000793,0.5247605443000793,102400,0.5274654733325663,0.5321667088032772,36.64789259161116,,,,0,0,0,0,0,1,0,0,0
1996-01-26,0.5247605443000793,0.5247605443000793,0.5247605443000793,0.5247605443000793,0,0.526563559090276,0.5314682511981307,36.64789259161116,,,,0,0,0,0,0,1,0,0,0
1996-01-29,0.5234254274377725,0.5234254274377725,0.5217559337615967,0.5217559337615967,102400,0.5249606959627962,0.5305704711004177,34.5886773621283,,,,0,0,0,0,0,1,0,0,0
1996-01-30,0.521755648037709,0.5301010743897441,0.5274307009537014,0.5280979275703429,1433600,0.5260065796218412,0.530346037251934,41.997084935634085,,,,0,0,0,0,0,0,1,0,0
1996-01-31,0.5280981448428792,0.534107506275177,0.5247605434170236,0.534107506275177,460800,0.5287071291381789,0.530681860402318,48.00639686875536,,,,0,0,0,0,0,0,0,0,1
1996-02-01,0.5341075561055263,0.5541359782218933,0.5341075561055263,0.5541359782218933,819200,0.5371839157142647,0.5327444754964965,62.0995404363228,,,,0,0,1,0,1,0,1,0,2
1996-02-02,0.5541360084185171,0.5741651243622695,0.5541360084185171,0.5740988254547119,2355200,0.5494893729500402,0.5363315356933237,70.64140344965168,,,,0,0,0,0,1,0,1,0,4
1996-02-05,0.5740987473165235,0.5755002334980076,0.5608795537824272,0.5741650462150574,819200,0.5577148145350398,0.5395721554628671,70.6650218379628,,,,0,0,0,0,1,0,0,0,6
1996-02-06,0.5741650569816019,0.6042090941140115,0.5741650569816019,0.5875182747840881,1382400,0.5676494761441632,0.5436319529929285,75.02767553165577,,,,0,0,0,0,1,0,1,0,8
1996-02-07,0.5875181859531141,0.5768360371176029,0.5701594496004248,0.5718952417373657,972800,0.5690647479486456,0.5460000215774303,63.18745970848282,,,,0,0,0,0,1,0,0,0,8
1996-02-08,0.5808416781164351,0.6075466871261597,0.5808416781164351,0.6075466871261597,768000,0.5818921613520872,0.5511071715800238,73.47463208922362,,,,0,0,0,0,1,0,0,0,10
1996-02-09,0.6075465799733867,0.6342523177580819,0.5674890531491464,0.630713701248169,1382400,0.5981660928542141,0.557654619460847,77.81341812398203,,,,0,0,0,0,1,0,1,0,5
