Entry_Date,Entry_Date,Exit_Date,Entry,Exit,profit
2013-10-21,2013-10-21,2014-04-02,96.63098907470705,118.29547119140624,216.6448211669919
2013-10-22,2013-10-22,2014-04-03,96.84579467773438,123.2359619140625,263.90167236328125
2013-10-23,2013-10-23,2014-04-04,94.3908920288086,124.3406753540039,299.4978332519531
2013-10-24,2013-10-24,2014-07-22,94.9739227294922,198.93893432617188,1039.6501159667966
2013-10-25,2013-10-25,2014-07-23,96.07864379882812,195.9010162353516,998.2237243652346
2013-10-28,2013-10-28,2014-07-24,94.85118103027344,193.07786560058602,982.2668457031259
2013-10-29,2013-10-29,2014-07-25,96.53893280029295,193.2619781494141,967.2304534912114
2013-10-30,2013-10-30,2014-07-28,98.13461303710938,190.7763977050781,926.4178466796873
2013-10-31,2013-10-31,2014-07-30,100.9577407836914,199.0003204345703,980.4257965087891
2013-11-01,2013-11-01,2014-07-31,101.17255401611328,201.82345581054688,1006.5090179443359
2013-11-05,2013-11-05,2014-08-01,102.46138763427734,204.186279296875,1017.2489166259766
2013-11-06,2013-11-06,2014-08-04,105.52999877929688,205.10690307617188,995.76904296875
2013-11-07,2013-11-07,2014-08-05,102.95236206054688,203.51119995117188,1005.58837890625
2013-11-08,2013-11-08,2014-08-06,103.04440307617188,204.46246337890625,1014.1806030273438
2013-11-11,2013-11-11,2014-08-18,101.60216522216795,201.60504150390625,1000.0287628173829
2013-11-12,2013-11-12,2014-08-19,102.89097595214844,203.2511749267578,1003.6019897460938
2013-11-13,2013-11-13,2014-08-20,102.21588134765624,199.2445068359375,970.2862548828126
2013-11-14,2013-11-14,2014-08-21,103.7195281982422,202.19512939453125,984.7560119628905
2013-11-18,2013-11-18,2014-08-22,104.5173568725586,210.27052307128903,1057.5316619873045
2013-11-19,2013-11-19,2014-09-30,102.30793762207031,211.2333526611328,1089.254150390625
2013-11-20,2013-11-20,2014-10-01,99.48482513427734,210.39476013183602,1109.0993499755868
2013-11-21,2013-11-21,2014-10-07,99.88372802734376,210.3636779785156,1104.7994995117183
2013-11-22,2013-11-22,2014-10-08,96.99921417236328,210.4258117675781,1134.2659759521482
2013-11-25,2013-11-25,2014-10-09,97.73570251464844,212.44467163085938,1147.0896911621094
2013-11-26,2013-11-26,2014-10-10,99.4234390258789,206.1396789550781,1067.162399291992
2013-12-13,2013-12-13,2014-10-13,106.23578643798828,208.0342712402344,1017.9848480224612
2013-12-16,2013-12-16,2014-10-14,109.2430419921875,213.81124877929688,1045.6820678710938
2013-12-17,2013-12-17,2014-10-15,108.59862518310548,213.81124877929688,1052.1262359619138
2013-12-18,2013-12-18,2014-10-16,108.59862518310548,198.8097076416016,902.110824584961
2013-12-19,2013-12-19,2014-10-17,107.21775817871094,200.48687744140625,932.6911926269531
2013-12-20,2013-12-20,2014-10-20,113.93801879882812,205.36317443847656,914.2515563964844
2013-12-23,2013-12-23,2014-10-21,115.90196228027344,203.0337371826172,871.3177490234375
2013-12-24,2013-12-24,2014-10-22,115.0427474975586,208.50015258789062,934.5740509033203
2013-12-26,2013-12-26,2014-10-27,116.39292907714844,208.68649291992188,922.9356384277344
2013-12-27,2013-12-27,2014-10-28,118.81714630126952,208.2206115722656,894.0346527099608
2013-12-30,2013-12-30,2014-10-29,120.62764739990234,212.4757080078125,918.4806060791016
2013-12-31,2013-12-31,2014-10-30,121.48683166503906,211.2333526611328,897.4652099609375
2014-01-01,2014-01-01,2014-10-31,121.793701171875,216.51339721679688,947.1969604492188
2014-01-02,2014-01-02,2014-11-03,120.87313079833984,212.9105529785156,920.3742218017576
2014-01-03,2014-01-03,2014-11-05,122.8063507080078,210.23944091796875,874.3309020996095
2014-01-06,2014-01-06,2014-11-07,123.63489532470705,207.07144165039062,834.3654632568358
2014-01-07,2014-01-07,2014-12-11,123.81900024414062,200.48687744140625,766.6787719726562
2014-01-08,2014-01-08,2014-12-12,123.72694396972656,191.91455078125,681.8760681152344
2014-01-09,2014-01-09,2014-12-15,125.01577758789062,190.88961791992188,658.7384033203125
2014-01-10,2014-01-10,2014-12-16,125.2305908203125,188.0321807861328,628.0158996582031
2014-01-13,2014-01-13,2014-12-17,126.48870849609376,193.7159576416016,672.2724914550782
2014-01-14,2014-01-14,2014-12-18,127.47066497802734,199.58615112304688,721.1548614501953
2014-01-15,2014-01-15,2014-12-19,129.00498962402344,200.58004760742188,715.7505798339844
2014-01-16,2014-01-16,2014-12-22,132.47250366210938,205.5184783935547,730.4597473144531
2014-01-17,2014-01-17,2014-12-23,133.02490234375,205.3942108154297,723.6930847167969
2014-01-20,2014-01-20,2014-12-24,132.77938842773438,205.7669219970703,729.8753356933594
2014-01-21,2014-01-21,2014-12-26,130.56996154785156,207.59945678710938,770.2949523925781
2014-01-22,2014-01-22,2014-12-29,131.45988464355472,208.77967834472656,773.1979370117185
2014-01-23,2014-01-23,2014-12-30,126.85693359375,210.0220642089844,831.651306152344
2014-01-24,2014-01-24,2015-03-03,125.47608184814452,259.99624633789057,1345.2016448974605
2014-01-27,2014-01-27,2015-03-04,119.03194427490234,257.94631958007807,1389.1437530517574
2014-01-28,2014-01-28,2015-03-05,113.44705200195312,261.9530029296875,1485.0595092773438
2014-01-29,2014-01-29,2015-03-09,119.216064453125,271.146484375,1519.30419921875
2014-03-18,2014-03-18,2015-03-10,116.5770492553711,269.53143310546875,1529.5438385009766
2014-03-19,2014-03-19,2015-03-11,114.27558135986328,264.34451293945307,1500.689315795898
2014-03-20,2014-03-20,2015-03-12,114.67450714111328,266.39443969726557,1517.199325561523
2014-03-21,2014-03-21,2015-03-18,113.90734100341795,262.4188842773437,1485.1154327392574
2014-03-24,2014-03-24,2015-03-19,113.5084228515625,266.052734375,1525.443115234375
2014-03-25,2014-03-25,2015-04-27,111.14557647705078,276.9545288085937,1658.0895233154292
2014-04-10,2014-04-10,2015-04-28,130.35517883300778,295.5899963378906,1652.3481750488284
2014-04-11,2014-04-11,2015-04-29,133.05557250976562,291.11749267578125,1580.6192016601562
