,Entry_Date,Exit_Date,Entry,Exit,profit
100,2018-04-20,2018-08-31,530.5147705078125,653.8838500976562,1233.6907958984375
101,2018-09-07,2018-10-16,665.0005493164062,630.9246215820312,-340.75927734375
102,2018-12-14,2019-01-01,647.7028198242188,610.0910034179688,-376.1181640625
103,2019-01-14,2019-02-22,643.8958740234375,677.9208984375,340.250244140625
104,2019-04-03,2019-04-25,694.846923828125,672.0173950195312,-228.2952880859375
105,2019-06-07,2019-07-05,681.7489013671875,671.6416625976562,-101.0723876953125
106,2019-07-22,2019-10-01,733.7545166015625,742.313720703125,85.592041015625
107,2019-12-13,2020-02-12,680.8432006835938,747.6065673828125,667.6336669921875
108,2020-02-26,2020-03-11,749.2338256835938,656.6265258789062,-926.072998046875
109,2020-04-29,2020-08-13,647.5811767578125,922.8646240234376,2752.834472656251
110,2020-09-21,2020-11-04,979.8159790039062,1072.763916015625,929.4793701171875
111,2020-12-15,2021-02-05,1132.2393798828125,1247.4637451171875,1152.24365234375
112,2021-03-10,2021-04-27,1341.6536865234375,1322.38427734375,-192.694091796875
113,2021-06-01,2021-08-02,1375.0140380859375,1617.2176513671875,2422.0361328125
114,2021-08-09,2021-09-09,1648.688720703125,1676.7401123046875,280.513916015625
115,2021-10-01,2021-10-08,1650.5224609375,1708.706787109375,581.84326171875
116,2021-10-22,2021-11-08,1704.6923828125,1737.5,328.076171875
