Entry_Date,Entry_Date,Exit_Date,Entry,Exit,profit
2013-01-22,2013-01-22,2014-04-01,204.6142425537109,381.0440673828125,1764.2982482910159
2013-01-23,2013-01-23,2014-04-15,201.7352600097656,369.4528503417969,1677.1759033203127
2013-01-24,2013-01-24,2014-04-16,206.64822387695312,366.60479736328125,1599.5657348632812
2013-01-25,2013-01-25,2014-04-17,209.97573852539062,371.04443359375,1610.6869506835938
2013-01-28,2013-01-28,2014-04-21,211.9680633544922,371.505126953125,1595.3706359863281
2013-01-29,2013-01-29,2014-04-22,208.94308471679688,371.4422607421875,1624.9917602539062
2013-01-30,2013-01-30,2014-04-23,210.9145812988281,369.6203918457031,1587.0581054687502
2013-01-31,2013-01-31,2014-04-24,208.40066528320312,369.6203918457031,1612.197265625
2013-02-01,2013-02-01,2014-04-25,209.62110900878903,377.9447021484375,1683.2359313964846
2013-02-04,2013-02-04,2014-04-28,206.60655212402344,382.23773193359375,1756.3117980957031
2013-02-05,2013-02-05,2014-04-29,201.64138793945312,386.64599609375,1850.0460815429688
2013-02-06,2013-02-06,2014-04-30,204.3534698486328,383.6827087402344,1793.2923889160156
2013-02-07,2013-02-07,2014-05-27,206.5126800537109,388.3526916503906,1818.400115966797
2013-02-26,2013-02-26,2014-05-28,214.1898498535156,395.1377868652344,1809.4793701171877
2013-02-27,2013-02-27,2014-05-29,214.60708618164062,393.2321166992188,1786.2503051757817
2013-02-28,2013-02-28,2014-05-30,219.26976013183602,402.7082214355469,1834.3846130371085
2013-03-01,2013-03-01,2014-07-17,230.10757446289062,439.8691101074219,2097.6153564453125
2013-03-04,2013-03-04,2014-07-18,226.5193023681641,444.34027099609375,2178.2096862792964
2013-03-05,2013-03-05,2014-10-16,222.7432556152344,487.2516174316406,2645.0836181640625
2013-03-06,2013-03-06,2014-10-17,225.2258453369141,480.4141540527344,2551.8830871582027
2013-03-07,2013-03-07,2014-10-20,228.6993560791016,485.2860412597656,2565.8668518066406
2013-03-08,2013-03-08,2014-10-21,231.6513519287109,492.6095581054688,2609.582061767579
2013-03-11,2013-03-11,2014-10-22,231.19232177734366,493.4655456542969,2622.732238769532
2013-03-12,2013-03-12,2014-10-27,228.9392852783203,491.7007141113281,2627.614288330078
2013-03-13,2013-03-13,2014-10-28,226.3732147216797,501.1800231933594,2748.068084716797
2013-03-14,2013-03-14,2014-10-29,230.37876892089844,506.6119079589844,2762.3313903808594
2013-03-15,2013-03-15,2014-10-30,229.8989105224609,524.0700073242189,2941.710968017579
2013-03-18,2013-03-18,2014-10-31,227.37461853027344,532.1332397460939,3047.586212158204
2013-03-19,2013-03-19,2014-11-03,227.5415496826172,545.3748779296875,3178.333282470703
2013-03-20,2013-03-20,2014-11-05,222.9310302734375,551.7683715820311,3288.3734130859366
2013-03-21,2013-03-21,2014-12-22,222.14871215820312,548.3549194335939,3262.062072753907
2013-03-22,2013-03-22,2014-12-23,218.55001831054688,543.7684936523439,3252.1847534179697
2013-05-16,2013-05-16,2014-12-24,196.58238220214844,532.112060546875,3355.2967834472656
2013-06-18,2013-06-18,2014-12-26,203.99876403808602,542.4898071289061,3384.910430908201
2013-06-19,2013-06-19,2014-12-29,211.18572998046875,547.3615112304689,3361.757812500001
2013-06-20,2013-06-20,2014-12-30,205.35479736328125,551.990234375,3466.3543701171875
2013-06-21,2013-06-21,2014-12-31,207.6809539794922,548.1646728515625,3404.837188720703
2013-06-24,2013-06-24,2015-01-01,209.0369415283203,548.3759765625,3393.390350341797
2013-06-25,2013-06-25,2015-01-02,210.67462158203125,551.060302734375,3403.8568115234375
2013-06-26,2013-06-26,2015-01-05,216.7141876220703,541.8663330078125,3251.521453857422
2013-06-27,2013-06-27,2015-01-06,225.4762420654297,536.053955078125,3105.777130126953
2013-06-28,2013-06-28,2015-02-24,221.09518432617188,589.9605712890625,3688.6538696289062
2013-07-01,2013-07-01,2015-02-25,215.8066711425781,583.8839721679688,3680.7730102539062
2013-07-02,2013-07-02,2015-02-26,209.0787048339844,580.8298950195312,3717.5119018554688
2013-07-03,2013-07-03,2015-02-27,208.43197631835938,599.3553466796875,3909.2337036132812
2013-07-04,2013-07-04,2015-03-02,215.18081665039062,604.4913940429688,3893.1057739257812
2013-07-05,2013-07-05,2015-03-03,216.68289184570312,614.7316284179688,3980.4873657226562
2013-07-08,2013-07-08,2015-03-04,218.1536407470703,608.602294921875,3904.486541748047
2013-07-09,2013-07-09,2015-03-05,217.5277862548828,608.31689453125,3907.891082763672
2013-07-12,2013-07-12,2015-03-09,234.05044555664062,594.1983032226562,3601.4785766601562
2013-07-15,2013-07-15,2015-03-10,231.9642791748047,600.2113647460938,3682.4708557128906
2013-07-16,2013-07-16,2015-03-11,227.8961639404297,617.510986328125,3896.148223876953
