Entry_Date,Entry_Date,Exit_Date,Entry,Exit,profit
2008-12-15,2008-12-15,2010-02-11,88.5385971069336,108.77297973632812,202.3438262939453
2008-12-16,2008-12-16,2010-02-15,91.742919921875,107.86319732666016,161.20277404785156
2008-12-17,2008-12-17,2010-02-16,91.2964324951172,108.55891418457031,172.6248168945311
2008-12-18,2008-12-18,2010-02-17,96.12913513183594,107.99700164794922,118.67866516113281
2008-12-19,2008-12-19,2010-02-18,95.70891571044922,109.76304626464844,140.5413055419922
2008-12-22,2008-12-22,2010-02-19,95.44623565673828,107.99700164794922,125.50765991210938
2008-12-23,2008-12-23,2010-02-22,94.39568328857422,108.23780822753906,138.42124938964844
2008-12-24,2008-12-24,2010-02-23,93.45012664794922,107.9167251586914,144.66598510742188
2008-12-26,2008-12-26,2010-02-24,92.87228393554688,109.38846588134766,165.1618194580078
2008-12-29,2008-12-29,2010-02-25,93.00363159179688,107.0872039794922,140.83572387695327
2008-12-30,2008-12-30,2010-02-26,95.3674545288086,108.66595458984376,132.9850006103517
2008-12-31,2008-12-31,2010-03-02,94.86842346191406,108.5054168701172,136.3699340820314
2009-02-03,2009-02-03,2010-03-03,94.30550384521484,110.9404067993164,166.34902954101562
2009-02-04,2009-02-04,2010-03-12,94.27886199951172,107.0872039794922,128.08341979980483
2009-02-05,2009-02-05,2010-03-15,94.27886199951172,107.9167251586914,136.37863159179688
2009-02-06,2009-02-06,2010-03-16,96.14473724365234,108.66595458984376,125.2121734619142
2009-02-09,2009-02-09,2010-03-17,97.53077697753906,109.22789764404295,116.97120666503892
2009-03-06,2009-03-06,2010-03-18,94.70533752441406,109.41796875,147.12631225585938
2009-04-01,2009-04-01,2010-03-19,95.15848541259766,110.15126037597656,149.92774963378906
2009-04-02,2009-04-02,2010-03-22,97.95724487304688,109.60808563232422,116.50840759277344
2009-04-06,2009-04-06,2010-04-29,98.41038513183594,110.36851501464844,119.581298828125
2009-04-08,2009-04-08,2010-04-30,104.96753692626952,112.731201171875,77.63664245605483
2009-04-09,2009-04-09,2010-05-03,103.52815246582031,111.31903839111328,77.90885925292969
2009-04-13,2009-04-13,2010-05-04,102.46195220947266,110.85733795166016,83.953857421875
2009-04-15,2009-04-15,2010-05-05,105.39400482177734,111.4276351928711,60.3363037109375
2009-04-16,2009-04-16,2010-05-06,104.32781219482422,110.8302001953125,65.02388000488281
2009-04-17,2009-04-17,2010-05-07,103.1549835205078,110.04261016845705,68.87626647949247
2009-04-20,2009-04-20,2010-05-10,99.52989196777344,111.48197174072266,119.52079772949219
