,Entry_Date,Exit_Date,Entry,Exit,profit
50,2012-11-21,2013-01-18,352.5898132324219,402.3097229003906,497.1990966796875
51,2013-02-08,2013-03-05,406.9559326171875,393.40032958984375,-135.5560302734375
52,2013-04-26,2013-06-10,438.90509033203125,474.6382751464844,357.33184814453125
53,2013-07-15,2013-07-26,488.1178588867188,405.0216369628906,-830.9622192382818
54,2013-09-13,2013-10-04,385.693603515625,381.9340515136719,-37.59552001953125
55,2013-10-15,2013-11-28,392.7789306640625,402.467041015625,96.881103515625
56,2013-12-09,2013-12-24,449.9437561035156,408.3955993652344,-415.4815673828125
57,2014-03-04,2014-04-30,396.3939208984375,461.1260681152344,647.3214721679688
58,2014-05-16,2014-06-09,541.7158203125,537.0886840820311,-46.27136230468864
59,2014-06-27,2014-07-16,554.8297729492189,524.3131103515625,-305.16662597656364
60,2014-08-26,2014-12-29,545.708740234375,760.44091796875,2147.32177734375
61,2015-01-07,2015-04-01,768.4459838867188,897.7898559570312,1293.438720703125
62,2015-04-10,2015-04-27,917.1962280273438,798.6229858398438,-1185.732421875
63,2015-07-01,2015-08-14,849.5648803710938,934.4661254882812,849.012451171875
64,2015-09-24,2015-11-02,903.1873168945312,890.2763061523438,-129.110107421875
65,2015-12-07,2016-01-18,928.3759765625,876.0985717773438,-522.7740478515625
66,2016-03-11,2016-08-29,902.9924926757812,1130.6519775390625,2276.5948486328125
67,2016-09-12,2016-09-23,1170.03466796875,1194.49609375,244.6142578125
68,2016-10-07,2016-11-04,1194.5447998046875,1192.9302978515625,-16.14501953125
69,2016-11-15,2016-11-22,1069.5474853515623,1048.4619140625,-210.85571289062273
70,2017-01-05,2017-03-07,1103.2552490234377,1302.0767822265625,1988.2153320312477
71,2017-03-23,2017-04-18,1354.081787109375,1400.900634765625,468.1884765625
72,2017-06-13,2017-09-29,1459.999267578125,1652.2244873046875,1922.252197265625
73,2017-10-19,2017-10-31,1660.7203369140625,1598.155517578125,-625.648193359375
74,2017-12-05,2018-01-03,1635.7239990234375,1601.2001953125,-345.238037109375
75,2018-01-15,2018-02-15,1652.4210205078125,1656.1041259765625,36.8310546875
76,2018-03-13,2018-06-11,1698.681640625,1870.8580322265625,1721.763916015625
77,2018-06-20,2018-07-13,1939.78515625,1896.7476806640625,-430.374755859375
78,2018-08-01,2018-09-03,1981.057861328125,1877.7659912109373,-1032.9187011718773
79,2018-11-28,2019-01-04,1596.991943359375,1532.50244140625,-644.89501953125
80,2019-03-15,2019-04-18,1685.98046875,1746.4114990234375,604.310302734375
81,2019-06-12,2019-06-21,1553.9329833984375,1433.9619140625,-1199.710693359375
82,2019-07-12,2019-07-26,1494.1949462890625,1401.14794921875,-930.469970703125
83,2019-09-30,2019-10-11,1376.76123046875,1217.197998046875,-1595.63232421875
84,2019-11-08,2019-12-24,1415.8187255859375,1514.382568359375,985.638427734375
85,2020-01-03,2020-01-22,1521.3482666015625,1320.88671875,-2004.615478515625
86,2020-06-15,2020-07-24,488.1429748535156,519.6874389648439,315.4446411132824
87,2020-08-26,2020-09-22,564.8646850585938,541.3306884765625,-235.3399658203125
88,2020-10-22,2020-12-29,605.7630004882812,908.420654296875,3026.5765380859375
89,2021-01-13,2021-01-29,938.1241455078124,841.9483642578125,-961.7578124999989
90,2021-02-10,2021-03-19,1017.7813110351562,1006.9348754882812,-108.46435546875
91,2021-05-20,2021-06-29,970.7134399414062,1013.1541748046876,424.40734863281364
92,2021-07-13,2021-07-28,1050.718994140625,987.8787841796876,-628.4020996093739
