,Entry_Date,Exit_Date,Entry,Exit,profit
100,2017-05-29,2017-06-19,481.5,452.3500061035156,-291.49993896484375
101,2017-09-21,2017-11-21,413.6499938964844,424.25,106.00006103515625
102,2017-12-28,2018-01-29,418.6000061035156,399.25,-193.50006103515625
103,2018-04-12,2018-04-26,358.3999938964844,330.25,-281.49993896484375
104,2018-08-28,2018-09-26,260.0,233.3500061035156,-266.49993896484403
105,2019-01-14,2019-02-01,182.3999938964844,181.6499938964844,-7.5
106,2019-02-15,2019-02-19,161.64999389648438,163.75,21.00006103515625
107,2019-03-06,2019-03-28,188.8000030517578,170.5500030517578,-182.5
108,2019-04-09,2019-05-14,205.8999938964844,184.5,-213.99993896484403
109,2019-07-23,2019-07-31,156.1999969482422,135.60000610351562,-205.99990844726562
110,2019-09-17,2019-10-10,122.0,116.8000030517578,-51.99996948242202
111,2019-10-23,2019-11-26,132.64999389648438,163.39999389648438,307.5
112,2019-12-20,2020-02-05,175.9499969482422,183.75,78.00003051757812
113,2020-05-08,2020-07-03,81.05000305175781,103.4499969482422,223.9999389648439
114,2020-07-13,2020-09-28,108.0,132.85000610351562,248.50006103515625
115,2020-11-12,2021-02-23,151.1999969482422,324.0,1728.0000305175781
116,2021-04-19,2021-04-26,301.3999938964844,295.3999938964844,-60.0
117,2021-05-18,2021-06-29,332.45001220703125,341.54998779296875,90.999755859375
