Entry_Date,Entry_Date,Exit_Date,Entry,Exit,profit
2017-11-28,2017-11-28,2017-12-06,647.5338134765625,650.1598510742188,26.2603759765625
2017-12-14,2017-12-14,2018-02-05,673.7443237304688,688.7572021484375,150.1287841796875
2017-12-15,2017-12-15,2018-02-06,682.761962890625,688.9553833007812,61.9342041015625
2017-12-18,2017-12-18,2018-02-07,685.8834838867188,707.2383422851562,213.548583984375
2017-12-19,2017-12-19,2018-02-21,690.98681640625,669.3841552734375,-216.026611328125
2017-12-20,2017-12-20,2018-02-22,690.8382568359375,660.1683959960938,-306.6986083984375
2017-12-21,2017-12-21,2018-02-23,695.446044921875,669.5823974609375,-258.636474609375
2017-12-22,2017-12-22,2018-02-26,696.4865112304688,676.0234985351562,-204.630126953125
2017-12-26,2017-12-26,2018-02-27,695.3469848632812,683.2078857421875,-121.3909912109375
2017-12-27,2017-12-27,2018-02-28,694.1083374023438,688.2122192382812,-58.961181640625
2017-12-28,2017-12-28,2018-03-01,692.5723876953125,683.7529296875,-88.194580078125
2017-12-29,2017-12-29,2018-03-05,689.054443359375,666.4608764648438,-225.9356689453125
2018-01-01,2018-01-01,2018-03-06,693.1668701171875,649.1193237304688,-440.4754638671875
2018-01-02,2018-01-02,2018-03-07,678.8972778320312,646.6915283203125,-322.0574951171875
2018-01-03,2018-01-03,2018-03-09,684.2484130859375,664.2313232421875,-200.1708984375
2018-01-04,2018-01-04,2018-03-12,695.2479248046875,672.4066162109375,-228.4130859375
2018-01-05,2018-01-05,2018-03-13,695.5947265625,671.3660888671875,-242.286376953125
2018-01-08,2018-01-08,2018-03-14,697.7748413085938,668.0464477539062,-297.283935546875
2018-01-12,2018-01-12,2018-03-15,695.3965454101562,668.8887329101562,-265.078125
2018-01-15,2018-01-15,2018-03-16,710.2608032226562,662.3980712890625,-478.6273193359375
2018-01-16,2018-01-16,2018-03-19,694.5046997070312,667.9968872070312,-265.078125
2018-01-17,2018-01-17,2018-03-20,698.8648681640625,680.3836669921875,-184.81201171875
2018-01-18,2018-01-18,2018-03-21,701.3917846679688,666.8078002929688,-345.83984375
2018-01-19,2018-01-19,2018-03-22,705.0582275390625,658.8801879882812,-461.7803955078125
2018-01-22,2018-01-22,2018-03-23,708.1797485351562,658.4838256835938,-496.959228515625
2018-01-23,2018-01-23,2018-03-26,710.409423828125,657.096435546875,-533.1298828125
2018-01-30,2018-01-30,2018-03-27,661.85302734375,666.8572998046875,50.042724609375
2018-01-31,2018-01-31,2018-03-28,654.668701171875,672.1092529296875,174.405517578125
2018-04-06,2018-04-06,2018-05-15,675.4719848632812,674.7266235351562,-7.45361328125
2018-04-09,2018-04-09,2018-05-16,674.52783203125,663.5457763671875,-109.820556640625
2018-04-10,2018-04-10,2018-05-17,691.4232788085938,665.5831298828125,-258.4014892578125
2018-04-11,2018-04-11,2018-05-18,714.580078125,661.11083984375,-534.6923828125
2018-04-12,2018-04-12,2018-05-21,714.6296997070312,651.1723022460938,-634.573974609375
2018-04-13,2018-04-13,2018-05-22,707.2752685546875,655.89306640625,-513.822021484375
2018-04-16,2018-04-16,2018-05-23,704.5421752929688,674.8756713867188,-296.6650390625
2018-04-17,2018-04-17,2018-05-24,716.96533203125,674.1302490234375,-428.350830078125
2018-04-18,2018-04-18,2018-05-25,716.9155883789062,679.6461181640625,-372.6947021484375
2018-04-19,2018-04-19,2018-05-28,718.4561157226562,681.1369018554688,-373.192138671875
2018-04-20,2018-04-20,2018-05-29,711.7476196289062,691.0257568359375,-207.2186279296875
2018-04-25,2018-04-25,2018-05-30,761.3905029296875,690.0319213867188,-713.5858154296875
2018-04-26,2018-04-26,2018-05-31,758.11083984375,685.5595703125,-725.5126953125
2018-04-27,2018-04-27,2018-06-01,754.18505859375,671.8444213867188,-823.4063720703125
2018-04-30,2018-04-30,2018-06-04,738.5319213867188,655.992431640625,-825.3948974609375
2018-05-02,2018-05-02,2018-06-06,741.960693359375,678.9007568359375,-630.599365234375
2018-05-03,2018-05-03,2018-06-07,727.5001831054688,687.7460327148438,-397.54150390625
2018-05-04,2018-05-04,2018-06-08,697.783935546875,688.0938720703125,-96.900634765625
2018-05-07,2018-05-07,2018-06-11,699.2747192382812,708.1199951171875,88.4527587890625
2018-05-08,2018-05-08,2018-06-12,698.1317749023438,715.4745483398438,173.427734375
2018-06-18,2018-06-18,2018-06-25,667.7198486328125,685.5098876953125,177.900390625
2018-06-19,2018-06-19,2018-06-26,669.3101196289062,680.490966796875,111.8084716796875
2018-06-20,2018-06-20,2018-06-27,672.0431518554688,673.5836791992188,15.4052734375
2018-06-21,2018-06-21,2018-06-28,671.2977905273438,662.3034057617188,-89.94384765625
2018-08-03,2018-08-03,2018-08-23,685.5595703125,665.9309692382812,-196.2860107421875
2018-08-06,2018-08-06,2018-08-24,682.3792114257812,656.7875366210938,-255.916748046875
2018-08-17,2018-08-17,2018-08-27,650.9237670898438,656.34033203125,54.1656494140625
2018-11-15,2018-11-15,2018-12-05,575.4904174804688,569.2787475585938,-62.11669921875
2018-11-16,2018-11-16,2018-12-06,573.7511596679688,564.3095703125,-94.4158935546875
2018-11-19,2018-11-19,2018-12-13,565.2537231445312,567.4898681640625,22.3614501953125
2018-11-20,2018-11-20,2018-12-14,562.0733642578125,563.5144653320312,14.4110107421875
2018-11-21,2018-11-21,2018-12-17,556.7562866210939,586.17431640625,294.18029785156136
2018-11-22,2018-11-22,2018-12-18,569.179443359375,583.9878540039062,148.0841064453125
2018-11-26,2018-11-26,2018-12-19,564.7070922851562,579.4658203125,147.5872802734375
2018-11-27,2018-11-27,2019-02-06,566.9929809570312,575.8382568359375,88.4527587890625
2018-12-24,2018-12-24,2019-02-07,575.887939453125,573.7014770507812,-21.8646240234375
2018-12-26,2018-12-26,2019-02-08,571.3162231445312,573.9995727539062,26.83349609375
2018-12-27,2018-12-27,2019-02-11,586.9693603515625,563.3653564453125,-236.0400390625
2018-12-28,2018-12-28,2019-02-12,595.1189575195312,571.1671752929688,-239.517822265625
2018-12-31,2018-12-31,2019-02-14,594.1748046875,565.054931640625,-291.19873046875
2019-01-01,2019-01-01,2019-02-15,595.1686401367188,565.3530883789062,-298.155517578125
2019-01-02,2019-01-02,2019-02-18,598.0011596679688,563.9617309570312,-340.394287109375
2019-01-03,2019-01-03,2019-02-19,596.3612670898438,558.9924926757811,-373.68774414062614
2019-01-04,2019-01-04,2019-02-20,599.14404296875,558.1476440429689,-409.96398925781136
2019-01-07,2019-01-07,2019-02-21,598.7465209960938,558.4458618164061,-403.00659179687614
2019-01-08,2019-01-08,2019-02-22,608.7347412109375,556.4083862304689,-523.2635498046864
2019-01-11,2019-01-11,2019-02-25,634.574951171875,557.5513916015625,-770.235595703125
2019-01-14,2019-01-14,2019-02-26,616.2880249023438,555.9612426757811,-603.2678222656261
2019-01-15,2019-01-15,2019-02-27,620.064697265625,559.837158203125,-602.275390625
2019-01-16,2019-01-16,2019-02-28,617.580078125,574.9934692382812,-425.8660888671875
2019-01-17,2019-01-17,2019-03-01,619.51806640625,604.1630859375,-153.5498046875
2019-01-18,2019-01-18,2019-03-05,616.387451171875,604.013916015625,-123.7353515625
2019-01-21,2019-01-21,2019-03-06,613.8531494140625,604.2127075195312,-96.4044189453125
2019-01-22,2019-01-22,2019-03-07,616.0892944335938,588.4601440429688,-276.29150390625
2019-01-23,2019-01-23,2019-09-13,616.1886596679688,796.0409545898438,1798.52294921875
2019-01-24,2019-01-24,2019-09-16,614.4494018554688,794.1962280273438,1797.46826171875
2019-01-25,2019-01-25,2019-09-17,615.7910766601562,795.9412841796875,1801.5020751953125
2019-03-20,2019-03-20,2019-09-19,609.0825805664062,799.5809326171875,1904.9835205078125
2019-03-22,2019-03-22,2019-09-20,611.71630859375,813.8405151367188,2021.2420654296875
2019-03-25,2019-03-25,2019-09-23,607.2936401367188,789.4596557617188,1821.66015625
2019-03-26,2019-03-26,2019-09-24,605.8525390625,792.89990234375,1870.4736328125
2019-03-27,2019-03-27,2019-09-25,614.8966064453125,794.2958984375,1793.992919921875
2019-03-28,2019-03-28,2019-09-26,612.4120483398438,814.0897827148438,2016.77734375
2019-04-01,2019-04-01,2019-09-27,594.522705078125,840.1159057617188,2455.9320068359375
2019-04-02,2019-04-02,2019-09-30,597.4545288085938,844.0048828125,2465.5035400390625
2019-04-03,2019-04-03,2019-10-01,600.2466430664062,825.3079223632812,2250.61279296875
2019-04-04,2019-04-04,2019-10-03,593.0171508789062,828.2994384765625,2352.8228759765625
2019-04-05,2019-04-05,2019-11-26,610.3678588867188,956.2363891601562,3458.685302734375
2019-04-08,2019-04-08,2019-11-27,618.0460815429688,945.5167846679688,3274.70703125
2019-04-12,2019-04-12,2019-11-28,623.4308471679688,968.40185546875,3449.7100830078125
2019-04-15,2019-04-15,2019-11-29,621.5859985351562,957.333251953125,3357.4725341796875
2019-04-16,2019-04-16,2019-12-05,615.9520263671875,963.6653442382812,3477.1331787109375
2019-04-18,2019-04-18,2019-12-06,613.1599731445312,961.4715576171876,3483.1158447265634
2019-04-22,2019-04-22,2019-12-09,614.5559692382812,939.3343505859376,3247.7838134765634
2019-04-23,2019-04-23,2019-12-10,598.5015869140625,947.162109375,3486.605224609375
2019-04-24,2019-04-24,2019-12-11,608.5729370117188,963.8148803710938,3552.41943359375
2019-04-25,2019-04-25,2019-12-12,612.6115112304688,957.6823120117188,3450.7080078125
2019-05-07,2019-05-07,2019-12-13,660.2263793945312,972.1412353515624,3119.1485595703116
2019-05-08,2019-05-08,2020-02-10,648.7090454101562,950.103759765625,3013.9471435546875
2019-05-09,2019-05-09,2020-02-11,650.404296875,937.0906982421876,2866.864013671876
2019-05-10,2019-05-10,2020-02-12,640.2330932617188,930.210205078125,2899.7711181640625
2019-05-13,2019-05-13,2020-02-13,618.2455444335938,924.9252319335938,3066.796875
2019-05-14,2019-05-14,2020-02-14,613.8579711914062,911.662841796875,2978.0487060546875
2019-05-29,2019-05-29,2020-02-17,678.0757446289062,911.8124389648438,2337.366943359375
2019-05-30,2019-05-30,2020-02-18,677.97607421875,913.457763671875,2354.81689453125
2019-05-31,2019-05-31,2020-02-19,692.285400390625,935.5451049804688,2432.5970458984375
2019-06-03,2019-06-03,2020-02-20,693.631591796875,926.121826171875,2324.90234375
2019-06-04,2019-06-04,2020-02-24,696.4237060546875,914.0061645507812,2175.8245849609375
2019-06-06,2019-06-06,2020-02-25,694.3794555664062,898.6497802734375,2042.7032470703125
2019-06-07,2019-06-07,2020-02-26,696.4735717773438,888.82763671875,1923.5406494140625
2019-07-03,2019-07-03,2020-02-27,754.7581787109375,902.7880249023438,1480.2984619140625
2019-07-04,2019-07-04,2020-02-28,755.2567138671875,887.88037109375,1326.236572265625
2019-07-05,2019-07-05,2020-03-02,751.4176025390625,891.6197509765625,1402.021484375
2019-07-17,2019-07-17,2020-03-03,763.08447265625,897.3035888671875,1342.191162109375
