stock,initial_capital,ending_value,returns,accuracy,profit,avg_pl,avg_profit,avg_loss,max_profit,max_loss
LT,"100,000.00","72,228.72",-27.77,61.04,"-27,771.28",-360.67,"3,758.12","-6,813.44","19,006.61","-36,235.86"
IGL,"100,000.00","71,272.66",-28.73,45.65,"-28,727.34",-624.51,"2,892.97","-3,579.19","8,408.07","-16,416.01"
HINDPETRO,"100,000.00","61,135.41",-38.86,48.39,"-38,864.59","-1,253.70","2,463.92","-4,738.96","9,381.65","-18,689.90"
NMDC,"100,000.00","60,234.34",-39.77,48.39,"-39,765.66","-1,282.76","6,611.32","-8,683.47","32,844.74","-35,206.35"
TATAMOTORS,"100,000.00","59,952.01",-40.05,47.54,"-40,047.99",-656.52,"9,446.72","-9,812.59","21,796.61","-58,857.64"
MARICO,"100,000.00","55,613.07",-44.39,36.59,"-44,386.93","-1,082.61","3,557.27","-3,759.46","13,476.60","-23,103.06"
HCLTECH,"100,000.00","55,002.03",-45.00,45.90,"-44,997.97",-737.67,"3,797.31","-4,585.53","14,950.49","-39,939.60"
AMBUJACEM,"100,000.00","53,120.53",-46.88,51.43,"-46,879.47","-1,339.41","2,909.28","-5,838.03","7,258.98","-52,959.45"
DABUR,"100,000.00","52,979.57",-47.02,46.58,"-47,020.43",-644.12,"2,215.21","-3,136.86","9,938.90","-12,446.56"
SAIL,"100,000.00","49,356.00",-50.64,22.22,"-50,644.00","-5,627.11","14,410.09","-11,352.03","16,507.86","-33,792.11"
BRITANNIA,"100,000.00","46,489.71",-53.51,47.62,"-53,510.29",-849.37,"2,850.50","-4,212.88","8,623.21","-30,044.73"
BIOCON,"100,000.00","41,813.87",-58.19,37.14,"-58,186.13","-1,662.46","1,625.40","-3,605.28","7,605.19","-11,068.27"
BAJFINANCE,"100,000.00","41,051.40",-58.95,45.00,"-58,948.60","-2,947.43",645.67,"-5,887.24","1,122.66","-15,540.06"
ONGC,"100,000.00","33,418.77",-66.58,54.55,"-66,581.23",-864.69,"8,663.75","-12,298.83","59,185.41","-66,966.23"
IOC,"100,000.00","25,572.01",-74.43,0.00,"-74,427.99","-14,885.60",,"-14,885.60","-3,433.31","-40,771.66"
YESBANK,"100,000.00","23,502.48",-76.50,54.17,"-76,497.52","-3,187.40","3,001.04","-10,501.01","7,784.02","-34,768.40"
WIPRO,"100,000.00","-9,279.27",-109.28,57.14,"-109,279.27","-2,601.89","14,063.91","-24,822.95","55,666.00","-99,548.55"
EICHERMOT,"100,000.00","-57,344.53",-157.34,53.33,"-157,344.53","-2,097.93","15,715.10","-22,455.67","85,169.69","-138,862.36"
